id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Dreams,Bassline Prophet,hip-hop,energetic,0.85,95,0.62,0.88,0.08
12,Winter's Reprise,Elena Voss,classical,melancholic,0.25,66,0.30,0.15,0.95
13,Dust Road Home,Willow Creek,folk,nostalgic,0.38,84,0.55,0.40,0.80
14,Neon Pulse,Kilowatt,EDM,euphoric,0.97,128,0.88,0.93,0.03
15,Velvet Hour,Sable Rose,R&B,romantic,0.45,88,0.68,0.65,0.30
16,Iron Verdict,Grim Circuit,metal,angry,0.98,168,0.25,0.35,0.02
17,Backroad Sunshine,Cole Hartley,country,happy,0.68,112,0.80,0.70,0.55
18,Island Drift,Solara Bay,reggae,relaxed,0.42,76,0.72,0.75,0.40
